¿Cuál es la principal causa de vértigo según el material de estudio?,VPPB (Vértigo Posicional Paroxístico Benigno).
¿Cuál es la duración típica de las crisis de vértigo en el VPPB?,Menores de $60$ segundos.
"En el VPPB, el nistagmo se caracteriza por presentar una latencia corta y _____ con la repetición de la maniobra.",fatiga
¿Qué depósitos minerales se desprenden de las máculas y entran al canal semicircular en el VPPB?,Carbonato de calcio.
¿Cuál es el canal semicircular afectado con mayor frecuencia ($60$-$90\%$) en el VPPB?,Canal semicircular posterior.
Nombre de la maniobra diagnóstica considerada el estándar de oro para el VPPB.,Maniobra de Dix-Hallpike.
"En el VPPB, si se sospecha afectación del canal horizontal, ¿qué prueba se debe realizar?",Prueba de McClure.
¿Qué maniobra de reposicionamiento es el tratamiento de elección para el VPPB del canal posterior?,Maniobra de Epley.
¿Qué maniobra se utiliza específicamente para el tratamiento del VPPB del canal horizontal?,Maniobra de Barbecue.
¿Cuál es el fármaco de elección a dosis de $40$ a $120\text{ mg}$ diarios para la crisis aguda de VPPB?,Cinarizina.
Se recomienda el uso de _____ blando durante las primeras $48$ horas tras el tratamiento del VPPB.,collarín
¿Cuál es la segunda causa más común de vértigo periférico?,Neuronitis vestibular.
¿Qué estructura anatómica se inflama específicamente en la neuronitis vestibular?,Rama vestibular del VIII par craneal.
¿Cuál es la duración característica de los episodios de vértigo en la neuronitis vestibular?,De horas a días.
¿Con qué virus se ha relacionado frecuentemente la neuronitis vestibular a nivel ganglionar?,Herpes virus tipo 1.
¿Cuántos episodios de neuronitis vestibular suele presentar un paciente a lo largo de su vida?,Solo uno (la mayor parte de las veces).
Estudio de imagen con contraste utilizado para confirmar el diagnóstico de neuronitis vestibular.,Resonancia Magnética con gadolinio.
¿Cuál es la tercera causa más frecuente de vértigo según el material?,Enfermedad de Ménière.
¿Qué nombre recibe el exceso de endolinfa (hidrops) de causa idiopática?,Enfermedad de Ménière.
"¿Qué nombre recibe el hidrops endolinfático con causa identificable, como sífilis o trauma?",Síndrome de Ménière.
¿Cuál es la duración mínima de un episodio típico de vértigo para el diagnóstico de Ménière?,$20\text{ minutos}$.
Fenómeno en el cual la audición del paciente mejora justo al iniciar la crisis de vértigo en Ménière.,Fenómeno de Lermoyez.
Nombre de las crisis súbitas en Ménière donde el paciente puede caer al suelo sin perder la conciencia.,Crisis de Tumarkin.
"En las pruebas vestibulares de Ménière, ¿hacia qué lado se lateraliza típicamente la prueba de Romberg?",Hacia el lado sano.
¿Cuál es el manejo dietético inicial recomendado para pacientes con enfermedad de Ménière?,Dieta hiposódica ($1$-$2\text{ gramos}$).
Tratamiento farmacológico de primera elección para la enfermedad de Ménière.,Gentamicina intratimpánica.
Cirugía indicada en Ménière cuando el paciente tiene vértigo intratable y un nivel auditivo no útil.,Laberintectomía.
Definición de hipoacusia súbita: pérdida auditiva neurosensorial mayor a _____ en al menos tres frecuencias consecutivas.,$30\text{ dB}$
¿En qué periodo de tiempo máximo debe instaurarse la pérdida auditiva para considerarse hipoacusia súbita?,$72\text{ horas}$.
¿Qué síntoma acompaña al vértigo y la hipoacusia en el $100\%$ de los casos de hipoacusia súbita?,Plenitud ótica y acúfenos.
Fármaco y vía de administración de elección para el tratamiento de la hipoacusia súbita idiopática.,Metilprednisolona intratimpánica.
Dosis de Prednisona oral recomendada si el paciente con hipoacusia súbita no acepta la vía intratimpánica.,$60\text{ mg/día}$.
¿Cuál es la posición de reposo recomendada para pacientes con hipoacusia súbita?,Semisentado entre $35^\circ$ y $45^\circ$.
¿Qué enfermedad se define como una remodelación ósea desordenada que causa fijación de los huesecillos?,Otoesclerosis.
¿Cuál es el principal factor de riesgo nutricional asociado a la otoesclerosis?,Deficiencia de fluoruro de sodio.
¿Cuál es el dato pivote epidemiológico clásico para la otoesclerosis en exámenes médicos?,Mujer embarazada.
¿En qué fase de la otoesclerosis se observa el Signo de Schwartze?,Otoespongiosis.
Componente de la Tríada de Holgrem que describe la piel del conducto auditivo externo.,Sequedad con ausencia de cerumen.
Nombre del hallazgo patognomónico en la audiometría de un paciente con otoesclerosis.,Nicho de Carhart.
¿Cuál es el tratamiento quirúrgico de elección en la otoesclerosis?,Estapedectomía.
La prueba de Rinné compara la conducción ósea contra la conducción _____.,aérea
¿Cómo se define un Rinné Negativo?,La conducción ósea es mejor que la aérea.
¿Qué tipo de hipoacusia se asocia con un resultado de Rinné Negativo?,Hipoacusia conductiva.
"En una hipoacusia neurosensorial, ¿hacia qué lado se lateraliza el sonido en la prueba de Weber?",Hacia el lado sano.
"En una hipoacusia conductiva, ¿hacia qué lado se lateraliza el sonido en la prueba de Weber?",Hacia el lado enfermo.
¿Cuál es el manejo inicial de la mayoría de las perforaciones timpánicas traumáticas directas?,Observación (suelen autolimitarse).
¿Qué nombre recibe el cerumen impactado en el conducto auditivo externo?,Otocerosis.
¿Cuál es el método de tratamiento recomendado para el cerumen impactado?,Irrigación con aparato eléctrico.
¿En qué situación está contraindicado el uso de cerumenolíticos como el peróxido de hidrógeno?,Sospecha de perforación timpánica.
Pérdida auditiva bilateral progresiva común en pacientes geriátricos con Rinné positivo bilateral.,Presbiacusia.
¿Cuál es el tratamiento principal para la presbiacusia?,Prótesis auditiva.
¿Qué maniobra terapéutica se utiliza para el VPPB del canal semicircular superior?,Maniobra de Epley inversa.
"En la neuronitis vestibular, el nistagmo suele _____ con la fijación visual.",inhibirse
Tratamiento quirúrgico para Ménière cuando se desea conservar la audición residual.,Neurectomía vestibular.
¿Qué porcentaje de pacientes con hipoacusia súbita presenta recuperación instantánea?,$65\%$
¿Cuál es la edad media de inicio de la otoesclerosis?,$15$-$45$ años.
Fármaco utilizado para evitar la progresión de la otoesclerosis en fases iniciales.,Fluoruro de sodio.
"En la hipoacusia neurosensorial, el Rinné es de tipo _____.",Positivo (aunque con pérdida auditiva)
¿Qué hallazgo se espera en una prueba de Weber normal?,Weber central (el sonido se percibe igual en ambos oídos).
